bulletin_date,municipality,probable_cases,probable_cases_percent
2020-11-09,Cabo Rojo,5,3.1
2020-11-09,Caguas,18,11.2
2020-11-09,Camuy,2,1.2
2020-11-09,Canóvanas,1,0.6
2020-11-09,Carolina,8,5
2020-11-09,Cataño,0,0
2020-11-09,Cayey,0,0
2020-11-09,Ceiba,0,0
2020-11-09,Ciales,0,0
2020-11-09,Cidra,1,0.6
2020-11-09,Coamo,0,0
2020-11-09,Comerío,0,0
2020-11-09,Corozal,0,0
2020-11-09,Culebra,0,0
2020-11-09,Dorado,1,0.6
2020-11-09,Fajardo,5,3.1
2020-11-09,Florida,0,0
2020-11-09,Guánica,0,0
2020-11-09,Guayama,5,3.1
2020-11-09,Guayanilla,0,0
2020-11-09,Guaynabo,5,3.1
2020-11-09,Gurabo,6,3.7
2020-11-09,Hatillo,1,0.6
2020-11-09,Hormigueros,0,0
2020-11-09,Humacao,0,0
2020-11-09,Isabela,14,8.7
2020-11-09,Jayuya,0,0
2020-11-09,Juana Díaz,0,0
2020-11-09,Juncos,12,7.5
2020-11-09,Lajas,0,0
2020-11-09,Lares,0,0
2020-11-09,Las Marías,2,1.2
2020-11-09,Las Piedras,1,0.6
2020-11-09,Loíza,1,0.6
2020-11-09,Luquillo,0,0
2020-11-09,Manatí,0,0
2020-11-09,Maricao,0,0
2020-11-09,Maunabo,0,0
2020-11-09,Mayagüez,1,0.6
2020-11-09,Moca,2,1.2
2020-11-09,Morovis,2,1.2
2020-11-09,Naguabo,7,4.3
2020-11-09,Naranjito,0,0
2020-11-09,Orocovis,0,0
2020-11-09,Patillas,0,0
2020-11-09,Peñuelas,0,0
2020-11-09,Ponce,0,0
2020-11-09,Quebradillas,12,7.5
2020-11-09,Rincón,0,0
2020-11-09,Río Grande,2,1.2
2020-11-09,Sabana Grande,0,0
2020-11-09,Salinas,0,0
2020-11-09,San Germán,0,0
2020-11-09,San Juan,14,8.7
2020-11-09,San Lorenzo,1,0.6
2020-11-09,San Sebastián,0,0
2020-11-09,Santa Isabel,0,0
2020-11-09,Toa Alta,1,0
2020-11-09,Toa Baja,0,0
2020-11-09,Trujillo Alto,1,0.6
2020-11-09,Utuado,0,0
2020-11-09,Vega Alta,0,0
2020-11-09,Vega Baja,0,0
2020-11-09,Vieques,0,0
2020-11-09,Villalba,12,7.5
2020-11-09,Yabucoa,1,0.6
2020-11-09,Yauco,0,0
2020-11-09,Otro lugar fuera de PR,1,
2020-11-09,No disponible,13,
2020-11-09,Total,175,
2020-11-10,Adjuntas,0,0
2020-11-10,Aguada,1,0.3
2020-11-10,Aguadilla,3,1
2020-11-10,Aguas Buenas,2,0.7
2020-11-10,Aibonito,0,0
2020-11-10,Añasco,8,2.7
2020-11-10,Arecibo,2,0.7
2020-11-10,Arroyo,1,0.3
2020-11-10,Barceloneta,0,0
2020-11-10,Barranquitas,0,0
2020-11-10,Bayamón,34,11.3
2020-11-10,Cabo Rojo,5,1.7
2020-11-10,Caguas,21,7
2020-11-10,Camuy,3,1
2020-11-10,Canóvanas,1,0.3
2020-11-10,Carolina,19,6.3
2020-11-10,Cataño,8,2.7
2020-11-10,Cayey,0,0
2020-11-10,Ceiba,0,0
2020-11-10,Ciales,0,0
2020-11-10,Cidra,1,0.3
2020-11-10,Coamo,0,0
2020-11-10,Comerío,0,0
2020-11-10,Corozal,0,0
